Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_3,1,0.8676,0.534,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.6
dataset_3,2,0.8989,0.608,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.54
dataset_3,3,0.8905,0.6073,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.45
dataset_3,4,0.8873,0.5632,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",0.44
dataset_3,5,0.8831,0.5636,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.46
dataset_3,6,0.8946,0.5907,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",0.58
dataset_3,7,0.8987,0.5749,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.61
dataset_3,8,0.8925,0.5979,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.71
dataset_3,9,0.8894,0.6092,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.77
dataset_3,10,0.8873,0.5708,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",0.67
