Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_4,1,0.8707,0.5146,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.66
dataset_4,2,0.8644,0.4918,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",0.5
dataset_4,3,0.8624,0.4613,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",0.43
dataset_4,4,0.8612,0.5016,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.44
dataset_4,5,0.8622,0.535,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.49
dataset_4,6,0.8664,0.4968,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",0.56
dataset_4,7,0.8466,0.4141,11,euclidean,"{'metric': 'euclidean', 'n_neighbors': 11}",0.58
dataset_4,8,0.8653,0.4795,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.72
dataset_4,9,0.8716,0.5064,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.82
dataset_4,10,0.8612,0.5454,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.59
