Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_11,1,265,8,"F32, F105, F135, F155, F164, F192, F236, F249",0.7083,0.0773,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.82,SVM,,,,,,,,,
dataset_11,2,265,10,"F32, F68, F102, F105, F123, F164, F192, F196, F236, F249",0.7827,0.0793,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.44,SVM,,,,,,,,,
dataset_11,3,265,8,"F8, F32, F105, F164, F192, F231, F236, F249",0.7155,0.0711,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.23,SVM,,,,,,,,,
dataset_11,4,265,11,"F32, F68, F92, F105, F111, F155, F164, F178, F192, F236, F249",0.7227,0.0642,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.12,SVM,,,,,,,,,
dataset_11,5,265,8,"F32, F105, F126, F156, F164, F192, F236, F249",0.7071,0.0798,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.29,SVM,,,,,,,,,
dataset_11,6,265,10,"F25, F32, F105, F111, F164, F178, F192, F196, F236, F249",0.6615,0.0793,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",5.63,SVM,,,,,,,,,
dataset_11,7,265,11,"F32, F68, F102, F105, F123, F164, F178, F192, F196, F236, F249",0.7467,0.071,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",4.41,SVM,,,,,,,,,
dataset_11,8,265,9,"F32, F92, F102, F105, F164, F192, F196, F236, F249",0.7863,0.0675,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.31,SVM,,,,,,,,,
dataset_11,9,265,9,"F32, F68, F102, F105, F138, F164, F192, F236, F249",0.7563,0.0809,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.01,SVM,,,,,,,,,
dataset_11,10,265,9,"F32, F68, F105, F111, F164, F192, F196, F236, F249",0.6759,0.0599,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",4.68,SVM,,,,,,,,,
