Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_9,1,265,6,"F59, F105, F164, F192, F236, F249",0.7359,0.1182,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.46,SVM,,,,,,,,,
dataset_9,2,265,10,"F8, F59, F63, F79, F102, F105, F164, F192, F218, F249",0.5858,0.1325,linear,10.0,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",5.48,SVM,,,,,,,,,
dataset_9,3,265,10,"F59, F63, F79, F105, F144, F164, F185, F192, F236, F249",0.6915,0.1528,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",5.69,SVM,,,,,,,,,
dataset_9,4,265,10,"F32, F59, F63, F68, F105, F134, F157, F164, F192, F236",0.7179,0.1555,linear,10.0,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",6.69,SVM,,,,,,,,,
dataset_9,5,265,6,"F32, F63, F105, F164, F192, F249",0.7683,0.0791,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.24,SVM,,,,,,,,,
dataset_9,6,265,6,"F59, F63, F105, F164, F192, F236",0.6891,0.1192,linear,10.0,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",5.4,SVM,,,,,,,,,
dataset_9,7,265,5,"F68, F105, F164, F192, F249",0.7011,0.0591,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",4.62,SVM,,,,,,,,,
dataset_9,8,265,8,"F8, F32, F59, F105, F144, F164, F192, F249",0.6795,0.0771,linear,1.0,N/A,"{'kernel': 'linear', 'C': 1, 'gamma': 'N/A'}",5.49,SVM,,,,,,,,,
dataset_9,9,265,8,"F8, F59, F63, F68, F102, F105, F192, F249",0.5198,0.1041,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.39,SVM,,,,,,,,,
dataset_9,10,265,5,"F63, F105, F164, F192, F249",0.5402,0.0591,linear,0.1,N/A,"{'kernel': 'linear', 'C': 0.1, 'gamma': 'N/A'}",4.07,SVM,,,,,,,,,
dataset_9,1,265,6,"F59, F105, F164, F192, F236, F249",0.94,0.6786,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",15.74,KNN,3.0,euclidean,,,,,,,
dataset_9,2,265,10,"F8, F59, F63, F79, F102, F105, F164, F192, F218, F249",0.9568,0.7501,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.49,KNN,3.0,manhattan,,,,,,,
dataset_9,3,265,10,"F59, F63, F79, F105, F144, F164, F185, F192, F236, F249",0.952,0.7743,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.39,KNN,3.0,manhattan,,,,,,,
dataset_9,4,265,10,"F32, F59, F63, F68, F105, F134, F157, F164, F192, F236",0.9508,0.7266,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.32,KNN,3.0,manhattan,,,,,,,
dataset_9,5,265,6,"F32, F63, F105, F164, F192, F249",0.9364,0.6062,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",15.19,KNN,3.0,manhattan,,,,,,,
