Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_14,1,0.9868,0.903,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",9.14
dataset_14,2,0.9844,0.8679,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",6.74
dataset_14,3,0.9916,0.9354,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",7.32
dataset_14,4,0.994,0.9672,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",7.15
dataset_14,5,0.9892,0.8874,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",9.83
dataset_14,6,0.9916,0.9202,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",7.16
dataset_14,7,0.9868,0.8957,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",9.54
dataset_14,8,0.9868,0.9319,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",9.41
dataset_14,9,0.988,0.9292,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",7.22
dataset_14,10,0.9892,0.9367,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",7.25
